output_dim,num_layers,hidden_layer_size,dropout_rate,activation_fn,optimizer,loss_fn,threshold,lr_scheduler,batch_size,average_dice,average_precision,average_recall,average_f1
1036,1,256,0.2837445763875017,selu,"{'name': 'SGD', 'lr': 0.00794495767371742, 'momentum': 0.05481892872895773}",MultiLabelSoftMarginLoss,0.3053821815967585,"{'name': 'ReduceLROnPlateau', 'mode': 'min', 'factor': 0.3489395027202453, 'patience': 10}",64,0.028700000000000003,0.020202020202020204,0.049999999999999996,0.028703703703703703
1036,3,256,0.37323262983690997,relu,"{'name': 'SGD', 'lr': 0.0013237435069325422, 'momentum': 0.5535573402053969}",BCEWithLogitsLoss,0.6284934529552699,{'name': 'None'},16,0.0,0.0,0.0,0.0
1036,1,256,0.1565553881496144,leaky_relu,"{'name': 'AdamW', 'lr': 8.030847537338676e-05}",MultiLabelSoftMarginLoss,0.4763576412998736,"{'name': 'CyclicLR', 'base_lr': 0.0007069689117112292, 'max_lr': 0.03221571823924192, 'step_size_up': 4000, 'mode_cyclic': 'exp_range'}",32,0.0539,0.04040404040404041,0.08148148148148147,0.053921568627450976
1036,3,256,0.1259183481237903,leaky_relu,"{'name': 'AdamW', 'lr': 3.460500079377465e-05}",SoftMarginLoss,0.33200996035886626,"{'name': 'ReduceLROnPlateau', 'mode': 'min', 'factor': 0.2737279088806555, 'patience': 15}",16,0.05483333333333334,0.04040404040404041,0.08703703703703702,0.0548474945533769
1036,3,128,0.11593862566956487,selu,"{'name': 'AdamW', 'lr': 5.82726505105634e-05}",MultiLabelSoftMarginLoss,0.7913837863487797,"{'name': 'CyclicLR', 'base_lr': 1.2150617066758482e-05, 'max_lr': 0.005158608116026262, 'step_size_up': 2000, 'mode_cyclic': 'exp_range'}",16,0.11320000000000001,0.3333333333333333,0.06851851851851852,0.11322751322751323
1036,1,128,0.20896747919953063,selu,"{'name': 'Adam', 'lr': 4.7783746164130076e-05}",SoftMarginLoss,0.6698078443519646,"{'name': 'CyclicLR', 'base_lr': 0.00047443354601496286, 'max_lr': 0.016858440717027676, 'step_size_up': 4000, 'mode_cyclic': 'triangular'}",64,0.0,0.0,0.0,0.0
1036,2,256,0.20857666848450535,relu,"{'name': 'SGD', 'lr': 0.0010450724080087496, 'momentum': 0.3057904160450924}",BCEWithLogitsLoss,0.54832608317626,{'name': 'None'},8,0.0,0.0,0.0,0.0
1036,3,256,0.1344694126748841,elu,"{'name': 'AdamW', 'lr': 0.0006525185160397994}",MultiLabelSoftMarginLoss,0.39570663683347373,"{'name': 'StepLR', 'step_size': 20, 'gamma': 0.8464824485032375}",16,0.0,0.0,0.0,0.0
1036,3,256,0.28967939002181486,gelu,"{'name': 'RMSprop', 'lr': 1.8455539103755657e-05}",BCEWithLogitsLoss,0.7975653574762236,"{'name': 'CyclicLR', 'base_lr': 0.0009961865725059426, 'max_lr': 0.007426232186488085, 'step_size_up': 4000, 'mode_cyclic': 'triangular'}",64,0.12803333333333333,1.0,0.06851851851851852,0.12803643724696356
1036,3,1024,0.30914236880549717,tanh,"{'name': 'AdamW', 'lr': 0.000534815777617264}",BCEWithLogitsLoss,0.5599466019803114,"{'name': 'ExponentialLR', 'gamma': 0.8630036062095077}",8,0.0,0.0,0.0,0.0
1036,1,1024,0.3251153528128615,elu,"{'name': 'AdamW', 'lr': 2.2328761865710568e-05}",BCEWithLogitsLoss,0.6369616728635239,"{'name': 'StepLR', 'step_size': 5, 'gamma': 0.18924745724312225}",16,0.0,0.0,0.0,0.0
1036,2,2048,0.39643545184330353,gelu,"{'name': 'RMSprop', 'lr': 0.0009794024720133352}",BCEWithLogitsLoss,0.7907546326076377,"{'name': 'CosineAnnealingLR', 'T_max': 34.695631810802354, 'eta_min': 1e-06}",64,0.07676666666666666,0.6666666666666666,0.04074074074074074,0.07675438596491228
1036,2,128,0.2364904493273731,gelu,"{'name': 'RMSprop', 'lr': 0.0003637246745916597}",MultiLabelSoftMarginLoss,0.7861763353959706,"{'name': 'CosineAnnealingLR', 'T_max': 12.198883181455745, 'eta_min': 1e-05}",64,0.12803333333333333,1.0,0.06851851851851852,0.12803643724696356
1036,2,128,0.24163129253876914,gelu,"{'name': 'RMSprop', 'lr': 3.328261809881352e-05}",MultiLabelSoftMarginLoss,0.795850049087118,"{'name': 'CyclicLR', 'base_lr': 3.196281705856889e-05, 'max_lr': 0.04560983475242755, 'step_size_up': 2000, 'mode_cyclic': 'triangular2'}",32,0.12803333333333333,1.0,0.06851851851851852,0.12803643724696356
1036,2,512,0.24158627028939716,gelu,"{'name': 'RMSprop', 'lr': 0.0004934746747785196}",MultiLabelSoftMarginLoss,0.7202974194069807,"{'name': 'CosineAnnealingLR', 'T_max': 41.817555152393425, 'eta_min': 1e-06}",64,0.12803333333333333,1.0,0.06851851851851852,0.12803643724696356
1036,2,512,0.2566803708624947,gelu,"{'name': 'RMSprop', 'lr': 0.0001546093328578502}",SoftMarginLoss,0.7067269565466561,"{'name': 'CosineAnnealingLR', 'T_max': 25.360360180257967, 'eta_min': 0}",64,0.15726666666666664,0.12070707070707072,0.22777777777777775,0.15727124183006536
1036,2,512,0.28092251613255753,gelu,"{'name': 'RMSprop', 'lr': 1.769753980496287e-05}",SoftMarginLoss,0.7171505775940857,"{'name': 'CosineAnnealingLR', 'T_max': 35.446248595097735, 'eta_min': 0}",64,0.0,0.0,0.0,0.0
1036,2,512,0.2880942660495768,gelu,"{'name': 'RMSprop', 'lr': 8.171355440361005e-05}",SoftMarginLoss,0.7071225405235431,"{'name': 'ExponentialLR', 'gamma': 0.9202889221539042}",64,0.20620000000000002,0.15151515151515152,0.3277777777777778,0.20620915032679743
1036,3,512,0.3438968428641422,tanh,"{'name': 'Adam', 'lr': 0.0002794139350690904}",SoftMarginLoss,0.7200363951071469,"{'name': 'ExponentialLR', 'gamma': 0.9435284406978547}",64,0.11046666666666667,0.15277777777777776,0.08703703703703702,0.11046698872785828
1036,2,512,0.3447163009196375,tanh,"{'name': 'Adam', 'lr': 2.7904220714570483e-05}",SoftMarginLoss,0.7100799397754376,"{'name': 'ExponentialLR', 'gamma': 0.858945348803908}",64,0.0,0.0,0.0,0.0
1036,2,512,0.17297507652050237,gelu,"{'name': 'RMSprop', 'lr': 0.0007916045096187107}",SoftMarginLoss,0.5686183687436877,"{'name': 'ExponentialLR', 'gamma': 0.8865497663627185}",32,0.0,0.0,0.0,0.0
1036,2,512,0.1724366528405518,gelu,"{'name': 'RMSprop', 'lr': 0.00018931863712126463}",SoftMarginLoss,0.568497224870086,"{'name': 'ExponentialLR', 'gamma': 0.9659813203841211}",32,0.0,0.0,0.0,0.0
1036,2,2048,0.2775599542556272,gelu,"{'name': 'RMSprop', 'lr': 3.986148749830946e-05}",SoftMarginLoss,0.6778255019925462,"{'name': 'CyclicLR', 'base_lr': 0.0001865807469213045, 'max_lr': 0.0016436164616802234, 'step_size_up': 4000, 'mode_cyclic': 'exp_range'}",64,0.2274666666666667,0.1697746697746698,0.3462962962962963,0.22746818025455798
1036,2,2048,0.27752007643010934,gelu,"{'name': 'RMSprop', 'lr': 1.3071232816480977e-05}",SoftMarginLoss,0.670395146781424,"{'name': 'CosineAnnealingLR', 'T_max': 20.24281721792633, 'eta_min': 0}",64,0.12323333333333332,0.75,0.06851851851851852,0.12325174825174824
1036,2,2048,0.26377515367012017,gelu,"{'name': 'RMSprop', 'lr': 1.0763580024949188e-05}",SoftMarginLoss,0.6716840964249681,"{'name': 'CosineAnnealingLR', 'T_max': 17.780689319627477, 'eta_min': 0}",64,0.23583333333333334,0.1717171717171717,0.3833333333333333,0.23583877995642702
1036,2,2048,0.2624003608342183,gelu,"{'name': 'RMSprop', 'lr': 0.00029529114055983546}",SoftMarginLoss,0.6270800492053077,"{'name': 'StepLR', 'step_size': 20, 'gamma': 0.34960857255467204}",8,0.0,0.0,0.0,0.0
1036,1,2048,0.3131594090789593,gelu,"{'name': 'RMSprop', 'lr': 0.00036105705223046433}",SoftMarginLoss,0.6221966891671654,"{'name': 'ReduceLROnPlateau', 'mode': 'min', 'factor': 0.10218437801273327, 'patience': 5}",8,0.2488,0.1818181818181818,0.39999999999999997,0.24880174291938997
1036,1,2048,0.31172155644323196,leaky_relu,"{'name': 'RMSprop', 'lr': 6.984906047229853e-05}",SoftMarginLoss,0.4983169671831258,"{'name': 'ReduceLROnPlateau', 'mode': 'min', 'factor': 0.12635603219676686, 'patience': 15}",64,0.2628,0.19191919191919193,0.42407407407407405,0.2627995642701525
1036,1,2048,0.31395577723162155,elu,"{'name': 'RMSprop', 'lr': 0.00017937569899984163}",SoftMarginLoss,0.5131498910647415,"{'name': 'ReduceLROnPlateau', 'mode': 'min', 'factor': 0.2333821313088965, 'patience': 15}",8,0.23396666666666666,0.1717171717171717,0.37222222222222223,0.2339869281045752
1036,1,2048,0.3109988254955227,leaky_relu,"{'name': 'RMSprop', 'lr': 1.7815341714653205e-05}",SoftMarginLoss,0.5046977645741725,"{'name': 'ReduceLROnPlateau', 'mode': 'min', 'factor': 0.38969592118616947, 'patience': 15}",8,0.12343333333333334,0.0909090909090909,0.19444444444444442,0.12347494553376907
1036,1,2048,0.3495968186395638,leaky_relu,"{'name': 'SGD', 'lr': 0.0008453797063093636, 'momentum': 0.9336323770398132}",SoftMarginLoss,0.4651921332962907,"{'name': 'ReduceLROnPlateau', 'mode': 'min', 'factor': 0.42918195016258365, 'patience': 5}",8,0.0,0.0,0.0,0.0
1036,1,2048,0.34621532743152217,leaky_relu,"{'name': 'SGD', 'lr': 0.0081587558132792, 'momentum': 0.6934981377354078}",SoftMarginLoss,0.4346395483404233,"{'name': 'ReduceLROnPlateau', 'mode': 'min', 'factor': 0.14939289358784597, 'patience': 5}",8,0.0,0.0,0.0,0.0
1036,1,2048,0.3105605483415464,elu,"{'name': 'RMSprop', 'lr': 1.5276827299893306e-05}",SoftMarginLoss,0.521473549292324,"{'name': 'ReduceLROnPlateau', 'mode': 'min', 'factor': 0.4860867906642634, 'patience': 5}",8,0.23493333333333336,0.1717171717171717,0.37777777777777777,0.23491285403050108
1036,1,2048,0.3152459367467096,elu,"{'name': 'RMSprop', 'lr': 1.9692660435351434e-05}",SoftMarginLoss,0.5239362575605027,"{'name': 'ReduceLROnPlateau', 'mode': 'min', 'factor': 0.38983687994451455, 'patience': 15}",8,0.21926666666666664,0.16161616161616163,0.3462962962962963,0.219281045751634
