output_dim,num_layers,hidden_layer_size,dropout_rate,activation_fn,optimizer,loss_fn,threshold,lr_scheduler,batch_size,average_dice,average_precision,average_recall,average_f1
1036,3,256,0.3268933378672222,gelu,"{'name': 'AdamW', 'lr': 0.00040377880235544037}",MultiLabelSoftMarginLoss,0.3484972336543411,"{'name': 'ReduceLROnPlateau', 'mode': 'min', 'factor': 0.22722925129333602, 'patience': 5}",16,0.09797945670628182,0.8624787775891342,0.05199445849077586,0.09798722033744994
1036,2,512,0.22647534783566273,leaky_relu,"{'name': 'SGD', 'lr': 0.0023287080442352497, 'momentum': 0.7617580096629555}",BCEWithLogitsLoss,0.5839540433473929,"{'name': 'CyclicLR', 'base_lr': 9.940506814867445e-05, 'max_lr': 0.009707597371732494, 'step_size_up': 4000, 'mode_cyclic': 'triangular2'}",16,0.09797945670628182,0.8624787775891342,0.05199445849077586,0.09798722033744994
1036,3,128,0.2535217858352842,leaky_relu,"{'name': 'AdamW', 'lr': 0.00012285068225719755}",MultiLabelSoftMarginLoss,0.4117188440266202,{'name': 'None'},64,0.2149368421052632,0.9070364082248632,0.12558972697173182,0.21494465541356106
1036,3,128,0.3720354112000178,gelu,"{'name': 'AdamW', 'lr': 0.0002174399953826936}",BCEWithLogitsLoss,0.6019801555788743,"{'name': 'ReduceLROnPlateau', 'mode': 'min', 'factor': 0.4382241231124785, 'patience': 10}",64,0.09797945670628187,0.8624787775891342,0.051994458490775865,0.0979872203374499
1036,2,2048,0.23294423318914595,relu,"{'name': 'SGD', 'lr': 0.003231081740017714, 'momentum': 0.25342215037140636}",BCEWithLogitsLoss,0.57082976555458,"{'name': 'ReduceLROnPlateau', 'mode': 'min', 'factor': 0.1266816887608473, 'patience': 15}",8,0.09797945670628185,0.8624787775891342,0.051994458490775865,0.09798722033744997
1036,3,2048,0.3214856813626788,relu,"{'name': 'AdamW', 'lr': 8.154984729957827e-05}",MultiLabelSoftMarginLoss,0.5608160770800048,"{'name': 'CosineAnnealingLR', 'T_max': 36.742021643746085, 'eta_min': 1e-05}",32,0.09797945670628185,0.8624787775891342,0.05199445849077586,0.09798722033744993
1036,1,128,0.16576980191027355,elu,"{'name': 'SGD', 'lr': 0.008823072942098734, 'momentum': 0.6953253920909318}",BCEWithLogitsLoss,0.595896320407026,{'name': 'None'},32,0.0730378607809847,0.05535833719195346,0.10846354575849482,0.0730430700306053
1036,1,256,0.17743842145597577,leaky_relu,"{'name': 'SGD', 'lr': 0.0003559381424896793, 'momentum': 0.8331226184706985}",MultiLabelSoftMarginLoss,0.3406968731121037,"{'name': 'StepLR', 'step_size': 10, 'gamma': 0.715184871314294}",32,0.023538539898132427,0.017852549261717338,0.034894533990011925,0.023539826933662376
1036,3,256,0.22118272120402704,relu,"{'name': 'RMSprop', 'lr': 4.20035699809847e-05}",MultiLabelSoftMarginLoss,0.467806413187507,{'name': 'None'},16,0.5674101867572157,0.8711032118452472,0.4331537105969247,0.5674070730622429
1036,3,256,0.1285901931158217,tanh,"{'name': 'Adam', 'lr': 0.00023337993157485795}",MultiLabelSoftMarginLoss,0.7366835555274169,"{'name': 'StepLR', 'step_size': 20, 'gamma': 0.6044008961388851}",16,0.0,0.0,0.0,0.0
1036,2,128,0.13917289694491977,relu,"{'name': 'SGD', 'lr': 0.00044344405939088775, 'momentum': 0.7925443666863226}",MultiLabelSoftMarginLoss,0.41432104669369174,"{'name': 'StepLR', 'step_size': 20, 'gamma': 0.602003135739676}",32,0.02367062818336163,0.017903997530483093,0.0353059904677927,0.023669842863812806
1036,3,2048,0.2557508312825959,elu,"{'name': 'SGD', 'lr': 0.00034655278163705334, 'momentum': 0.31928622887972186}",SoftMarginLoss,0.7359933058601333,"{'name': 'ExponentialLR', 'gamma': 0.9353983937405268}",8,0.0,0.0,0.0,0.0
1036,3,128,0.3381702314094629,elu,"{'name': 'RMSprop', 'lr': 2.8726264091216075e-05}",BCEWithLogitsLoss,0.688423200051282,"{'name': 'ExponentialLR', 'gamma': 0.8668862008979714}",8,0.0007718166383701187,0.002150537634408602,0.00048229907636363454,0.0007719281912830298
1036,1,2048,0.1394654513781218,leaky_relu,"{'name': 'Adam', 'lr': 2.2613072911851966e-05}",SoftMarginLoss,0.7199088771232411,"{'name': 'ReduceLROnPlateau', 'mode': 'min', 'factor': 0.1632888485239321, 'patience': 5}",8,0.236920882852292,0.17976025106755156,0.3510151654752575,0.23692020302609454
1036,1,128,0.36629792299914155,elu,"{'name': 'RMSprop', 'lr': 0.00017236763356585363}",MultiLabelSoftMarginLoss,0.4179302773646661,"{'name': 'ReduceLROnPlateau', 'mode': 'min', 'factor': 0.26650837676031786, 'patience': 10}",64,0.15093395585738545,0.9592529711375212,0.08340200132598845,0.1509420727729923
1036,1,256,0.1229647582757107,relu,"{'name': 'SGD', 'lr': 0.006300266805907946, 'momentum': 0.4045805794260626}",SoftMarginLoss,0.7267207730538463,"{'name': 'CyclicLR', 'base_lr': 6.055429536453056e-05, 'max_lr': 0.019053970179190947, 'step_size_up': 4000, 'mode_cyclic': 'exp_range'}",8,0.09364787775891342,0.8174872665534805,0.049748272434069804,0.0936549734704982
1036,1,128,0.22716968257872633,relu,"{'name': 'AdamW', 'lr': 7.083629374754816e-05}",SoftMarginLoss,0.5128226352176459,"{'name': 'ExponentialLR', 'gamma': 0.9013286679965713}",32,0.02090254668930391,0.0157946185110871,0.031231770877231207,0.02090277065103186
1036,3,128,0.16547423112191234,gelu,"{'name': 'AdamW', 'lr': 0.0008649184015132002}",BCEWithLogitsLoss,0.36368303051871487,"{'name': 'ExponentialLR', 'gamma': 0.8577747578529973}",8,0.03070339558573854,0.023151720944590223,0.046113289710454926,0.030704292790969666
1036,3,2048,0.15119246780462023,tanh,"{'name': 'AdamW', 'lr': 9.611582605559552e-05}",MultiLabelSoftMarginLoss,0.4095967848200237,"{'name': 'StepLR', 'step_size': 5, 'gamma': 0.20852300367429333}",32,0.05188200339558574,0.039255029068271836,0.07727441846342424,0.05188441488788483
1036,2,2048,0.19613914066514068,leaky_relu,"{'name': 'Adam', 'lr': 0.00014324324290928674}",BCEWithLogitsLoss,0.4199323917517877,"{'name': 'CosineAnnealingLR', 'T_max': 27.2740793719794, 'eta_min': 1e-05}",64,0.8231478777589133,0.9356995765188538,0.7418292718017605,0.8231474208664878
1036,1,256,0.3392167416933083,selu,"{'name': 'SGD', 'lr': 0.00014003227087784923, 'momentum': 0.7647026960307802}",SoftMarginLoss,0.5608226029591422,"{'name': 'CyclicLR', 'base_lr': 7.502668106502143e-05, 'max_lr': 0.05463353810810332, 'step_size_up': 4000, 'mode_cyclic': 'exp_range'}",8,0.0188641765704584,0.014251170448114416,0.02820815656966761,0.018864895544256445
